"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"WJE9TJET","journalArticle","2025","Harwood, Karey","RECONSIDERING THE SIGNIFICANCE OF BIOGENETIC TIES","Journal for Cultural & Religious Theory","","1530-5228","","https://research.ebsco.com/plink/1632ee55-f298-3ac0-a85b-05aae92cac1f","","2025","2026-02-02 05:06:10","2026-02-05 02:12:45","","102-114","","1","24","","JCRT","","","","","","Whitestone Foundation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8BZRNHJL","journalArticle","2025","Grane, Kevin","FAITH AND TRANSITIONS: RELIGIOUS NOTIONS OF ACCOUNTABILITY AND GENDER AFFIRMING CARE FOR YOUTH","Journal for Cultural & Religious Theory","","1530-5228","","https://research.ebsco.com/plink/e0bd2e5b-96f2-3380-9534-810316bb8173","","2025","2026-02-02 05:06:10","2026-02-05 02:12:45","","83-102","","1","24","","JCRT","","","","","","Whitestone Foundation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8TVWYLEJ","journalArticle","2025","Phelps, Hollis","CONSTRUCTING MYSTICAL EXPERIENCES: A CRITIQUE OF THE MYSTICAL PARADIGM IN PSYCHEDELIC RESEARCH","Journal for Cultural & Religious Theory","","1530-5228","","https://research.ebsco.com/plink/dda563fa-3e24-3d09-91a0-109cf31aeb16","","2025","2026-02-02 05:06:10","2026-02-05 02:12:45","","115-137","","1","24","","JCRT","","","","","","Whitestone Foundation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IKAE3PJ2","journalArticle","2024","Massaro, Thomas","THE ENVIRONMENTAL ETHICS OF POPE FRANCIS: PARSING KEY TERMS AND CLAIMS IN LAUDATO SI","Journal for Cultural & Religious Theory","","1530-5228","","https://research.ebsco.com/plink/12f9761d-86b2-359b-9a9c-a38d0af1b689","","2024","2026-02-02 05:06:10","2026-02-05 02:12:45","","65-73","","1","23","","JCRT","","","","","","Whitestone Foundation","","","","","","","","","","","","","Liberation theology; Climatic changes; Environmental ethics; Christianity; Catholic Church; Ecology and religion; Environmentalism; Global warming; Intergenerational relations; Pope (2013-2025 : Francis) – Laudato si'; Technology – Philosophy; Technology and civilization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C9PWWKBS","journalArticle","2024","Johnson, Zane","METAPHYSICAL PROTESTANTISM: A COMPARATIVE LITERARY ECOLOGY","Journal for Cultural & Religious Theory","","1530-5228","","https://research.ebsco.com/plink/c6224770-d02e-358c-a0d2-b61636e91aa5","","2024","2026-02-02 05:06:10","2026-02-05 02:12:45","","27-38","","1","23","","JCRT","","","","","","Whitestone Foundation","","","","","","","","","","","","","Metaphysics; Environmental ethics; Religious change; Christianity; Philosophy; Environmentalism; Alchemy; Christian; Christianity – Philosophy; Esotericism; Lord's Supper – Real presence; Naturalism; Transcendentalism (New England); Transubstantiation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B9NBGALZ","journalArticle","2024","Monson, Robert","SEATED AT THE CROSS: WHAT BLACK DISABLED BODIES CAN TEACH US ABOUT ENVIRONMENTAL JUSTICE","Journal for Cultural & Religious Theory","","1530-5228","","https://research.ebsco.com/plink/90ad2044-fb57-3b5a-8e04-f16e56549587","","2024","2026-02-02 05:06:10","2026-02-05 02:12:45","","99-107","","1","23","","JCRT","","","","","","Whitestone Foundation","","","","","","","","","","","","","Black theology; Philosophical anthropology; Justice; African Americans; Environmental justice; Administration of; Black people; Disabilities; Discrimination in justice administration; Flint (Mich); Passion of Jesus Christ; People with disabilities – Religious life; Religious Aspects","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REQM7XSH","journalArticle","2024","Pope, Mick","THE IMAGE OF GOD AND OUR VOCATION OF THE SOIL","Journal for Cultural & Religious Theory","","1530-5228","","https://research.ebsco.com/plink/b1835116-3a69-35d1-9d6b-535e74ff378f","","2024","2026-02-02 05:06:11","2026-02-05 02:12:45","","108-123","","1","23","","JCRT","","","","","","Whitestone Foundation","","","","","","","","","","","","","Philosophical anthropology; Theological anthropology; Vocation; Image of God; Modernity; Climatic changes; Humanity; Christianity; Environmental justice; Global warming; Agriculture – History; Civilization; Culture – Philosophy; Eden; Gardening; Greenhouse gas mitigation; Hebrew language – Terms – ʼadamah; Modern; Nature in religion; Order (Philosophy); Soil conservation; Land use","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U9CTIDES","journalArticle","2024","Mckanan, Daniel","ANCESTRAL DEVOTION, NEW ENGLAND CONSERVATION, AND THE CHALLENGE OF ENVIRONMENTAL JUSTICE","Journal for Cultural & Religious Theory","","1530-5228","","https://research.ebsco.com/plink/3af81d85-4419-32f9-ac04-24581f86f4a4","","2024","2026-02-02 05:06:11","2026-02-05 02:12:45","","86-99","","1","23","","JCRT","","","","","","Whitestone Foundation","","","","","","","","","","","","","Climate change; Philosophical anthropology; Memorials; Environmental justice; Ecology and religion; Intergenerational relations; Ancestors; Boston (Mass.); Capitalism and ethics; Cemeteries; Conservation of natural resources; Deforestation; Forest reserves; National parks and reserves; New England; Public lands; Urban ecology (Sociology)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"679LXN8T","journalArticle","2024","Mather, Nicholas","GREENING AMERICA’S VIRTUES","Journal for Cultural & Religious Theory","","1530-5228","","https://research.ebsco.com/plink/882f1ebf-732d-37d6-ab50-93af2fe0dd4b","","2024","2026-02-02 05:06:11","2026-02-05 02:12:45","","74-86","","1","23","","JCRT","","","","","","Whitestone Foundation","","","","","","","","","","","","","Climate change; American; Environmental ethics; Individual and society; Political ethics; America; Religion and politics; Ecology and culture; Environmental responsibility; Moral education; National characteristics; Political science – Philosophy; Republicanism; Virtues; Environmental degradation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DZ9XVWYU","journalArticle","2024","Prewitt-Davis, Elijah","THE SOLAR NUN: THE PROPHETIC ACTION AND THOUGHT OF SR. PAULA GONZALEZ, S.C","Journal for Cultural & Religious Theory","","1530-5228","","https://research.ebsco.com/plink/e81ecc5b-4891-3374-8ee8-bcd0772f9710","","2024","2026-02-02 05:06:11","2026-02-05 02:12:45","","123-131","","1","23","","JCRT","","","","","","Whitestone Foundation","","","","","","","","","","","","","Dissent; Women in Christianity; Christianity; Ecology and religion; Nature in religion; Gonzalez; Nature conservation; Nuns; Paula; Political; Religion and science; Renewable energy sources; Solar energy; Women – Religious life","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LJ8DCUEW","journalArticle","2024","Kaur, Harpreet","SIKH ENVIRONMENTAL ETHICS: THEORY AND PRAXIS","Journal for Cultural & Religious Theory","","1530-5228","","https://research.ebsco.com/plink/f4fd3dd6-127a-3ce8-8675-bce3edfe59f3","","2024","2026-02-02 05:06:11","2026-02-05 02:12:45","","39-64","","1","23","","JCRT","","","","","","Whitestone Foundation","","","","","","","","","","","","","Environmentalism; Ādi-Granth; Deep ecology; Ecology – Philosophy; Panentheism; Practice (Philosophy); Sikh religious practice; Sikhism – Sacred books","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NPF3EQDU","journalArticle","2023","Singh, Nirvikar","SIKHS AS SUBALTERNS: VOICE, INEQUALITY AND POWER","Journal for Cultural & Religious Theory","","1530-5228","","https://research.ebsco.com/plink/2c955404-3836-33dc-a431-5c9497cfea55","","2023","2026-02-02 05:06:11","2026-02-05 02:12:45","","269-295","","2","22","","JCRT","","","","","","Whitestone Foundation","","","","","","","","","","","","","Postcolonialism; Social ethics; Social psychology; Decolonization; Methodology; Religions (Study and teaching); Oppression (Psychology); 1891-1937; Antonio; Gramsci; Guha; Marginality; Ranajit; Research ethics; Sikh; Sikhs; Social; Subaltern Studies Collective","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E4MJP4YJ","journalArticle","2023","Keller, Catherine; Raschke, Carl A","THE RELIGIOUS ROOTS OF ENVIRONMENTAL JUSTICE","Journal for Cultural & Religious Theory","","1530-5228","","https://research.ebsco.com/plink/18d74593-b756-321f-86a4-288b082dbe15","","2023","2026-02-02 05:06:11","2026-02-05 02:12:45","","230-252","","2","22","","JCRT","","","","","","Whitestone Foundation","","","","","","","","","","","","","Environmental ethics; Social justice; Ecology; Interviews; Environmental justice; Environmentalism; Nature in religion; Environmental responsibility; Extinction (Biology); Human beings – Relation to nature","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FWM957EM","journalArticle","2023","Magnasco, Anna-Maria","THE RE-ENCHANTMENT OF BODIES: THE TRANSFORMATIVE POWER OF CHARISMATIC HEALINGS IN THE “WORLD OF PHENOMENA”","Journal for Cultural & Religious Theory","","1530-5228","","https://research.ebsco.com/plink/ce8f21af-0f44-3544-ba29-9bebd82934b9","","2023","2026-02-02 05:06:11","2026-02-05 02:12:45","","169-183","","1","22","","JCRT","","","","","","Whitestone Foundation","","","","","","","","","","","","","Philosophical anthropology; Metaphysics; Charisma; Christianity; Healing; Body; Human (Philosophy); Gifts; Healers; Human body in religion; Medical anthropology; Pentecostalism – Catholic Church; Science – Philosophy; Spiritual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
